,comment,customer_name,discount_percent,EMI,offer_details,price,product_name,product_searched,rating,review_age
164,Terrific purchase,Satej,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Jan, 2018"
165,Awesome,Shariq Ahmad Beigh,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Gold, 32 GB)",Iphone-7,5,"Oct, 2016"
166,Super!,Arjunanand Sivasankaran,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2017"
167,Simply awesome,Lalasaheb Patil,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
168,iPhone 7 is a must buy.,Palak Zatakia,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
169,Pretty good,shakik Ahamed,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,5 months ago
170,Expected a better product,Mevert Lyngdoh,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,2,3 months ago
171,Great product,Murchhana Grahacharya,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,5,4 months ago
172,Wonderful,Sai Harish,No Discount,NO EMI Plans,No offer Available,"₹49,999","APPLE iPhone 6 (Gold, 128 GB)",iphone6,5,"Nov, 2018"
173,The Next Level of Pure Awesomeness,Jitendra Choudhary,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
174,Really Nice,Suman Mondal,20% off,NO EMI Plans,No offer Available,"₹23,999","SAMSUNG Galaxy F62 (Laser Blue, 128 GB)  (6 GB RAM)",samsung,4,2 months ago
175,Genuine & the best !!,Flipkart Customer,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2017"
176,I'm lovin it!!,Vikas Gupta,20% off,NO EMI Plans,No offer Available,"₹24,999","APPLE iPhone 7 (Silver, 32 GB)",Iphone-7,5,"Oct, 2016"
